Title,Share Link,Download URL,Transcription JSON
Amazon reporting tool #2 Report 7 to 12,https://go.screenpal.com/watch/c3f03YVY0Vx,https://screenpal.com/content/video/download/c3f03YVY0Vx,Amazon_reporting_tool__2_Report_7_to_12_transcribed.json
Amazon video ad example,https://go.screenpal.com/watch/crQnbZVQtYj,https://screenpal.com/content/video/download/crQnbZVQtYj,
AMC Use Case - LTV,https://go.screenpal.com/watch/c0nfFyVxzCS,https://screenpal.com/content/video/download/c0nfFyVxzCS,AMC_Use_Case___LTV_transcribed.json
AMC Use Case - LTV,https://go.screenpal.com/watch/c0nf1iVxziZ,https://screenpal.com/content/video/download/c0nf1iVxziZ,AMC_Use_Case___LTV_transcribed.json
AMC Use Case - LTV_V2,https://go.screenpal.com/watch/c0nhIAVxAkb,https://screenpal.com/content/video/download/c0nhIAVxAkb,AMC_Use_Case___LTV_V2_transcribed.json
As optimization turotial #3 - Basic KW #2,https://go.screenpal.com/watch/crQeblVQvKo,https://screenpal.com/content/video/download/crQeblVQvKo,
Audit SOP - unpaid - part 2,https://go.screenpal.com/watch/c06jePV5kDk,https://screenpal.com/content/video/download/c06jePV5kDk,Audit_SOP___unpaid___part_2_transcribed.json
Brand registry - Nutronic,https://go.screenpal.com/watch/crj6VOVjbM3,https://screenpal.com/content/video/download/crj6VOVjbM3,Brand_registry___Nutronic_transcribed.json
Bundle SKU Mapping for NSC Canada,https://go.screenpal.com/watch/c3QjrmVO1EU,https://screenpal.com/content/video/download/c3QjrmVO1EU,Bundle_SKU_Mapping_for_NSC_Canada_transcribed.json
Bundle SKU Mapping.NSC CA,https://go.screenpal.com/watch/c3Qj3IVO1HJ,https://screenpal.com/content/video/download/c3Qj3IVO1HJ,Bundle_SKU_Mapping_NSC_CA_transcribed.json
Bundle SKU Mapping.NSC CA,https://go.screenpal.com/watch/c3Qj3hVO1mK,https://screenpal.com/content/video/download/c3Qj3hVO1mK,Bundle_SKU_Mapping_NSC_CA_transcribed.json
"Buy box, stranded inventory removal",https://go.screenpal.com/watch/c3hh2rVY8c8,https://screenpal.com/content/video/download/c3hh2rVY8c8,Buy_box__stranded_inventory_removal_transcribed.json
Client delivery notion template guideline,https://go.screenpal.com/watch/c0QTInV5cng,https://screenpal.com/content/video/download/c0QTInV5cng,Client_delivery_notion_template_guideline_transcribed.json
Excel VBA ad automation,https://go.screenpal.com/watch/criul0VidQ5,https://screenpal.com/content/video/download/criul0VidQ5,Excel_VBA_ad_automation_transcribed.json
Excel VBA ad automation - Part 2,https://go.screenpal.com/watch/crivlMViL8C,https://screenpal.com/content/video/download/crivlMViL8C,Excel_VBA_ad_automation___Part_2_transcribed.json
Execution plan,https://go.screenpal.com/watch/c0eVbNVy7aU,https://screenpal.com/content/video/download/c0eVbNVy7aU,
Expired products customer complaints,https://go.screenpal.com/watch/c0hhbNVzNjl,https://screenpal.com/content/video/download/c0hhbNVzNjl,Expired_products_customer_complaints_transcribed.json
Feedback on cost analysis file,https://go.screenpal.com/watch/c0eX0dV4YyE,https://screenpal.com/content/video/download/c0eX0dV4YyE,Feedback_on_cost_analysis_file_transcribed.json
Form 8233 - For Satvir,https://go.screenpal.com/watch/c36rrbVu14P,https://screenpal.com/content/video/download/c36rrbVu14P,Form_8233___For_Satvir_transcribed.json
Framar Canada,https://go.screenpal.com/watch/c3fFr8VYiJn,https://screenpal.com/content/video/download/c3fFr8VYiJn,Framar_Canada_transcribed.json
Greens powder pricing,https://go.screenpal.com/watch/c3ffofVqUWJ,https://screenpal.com/content/video/download/c3ffofVqUWJ,Greens_powder_pricing_transcribed.json
GS1 barcodes,https://go.screenpal.com/watch/c3eibTVFQb3,https://screenpal.com/content/video/download/c3eibTVFQb3,GS1_barcodes_transcribed.json
How to add a user,https://go.screenpal.com/watch/c0njDoVxJAT,https://screenpal.com/content/video/download/c0njDoVxJAT,How_to_add_a_user_transcribed.json
How to add an user,https://go.screenpal.com/watch/c0njD2VxJzW,https://screenpal.com/content/video/download/c0njD2VxJzW,How_to_add_an_user_transcribed.json
How to use the order confirmation file,https://go.screenpal.com/watch/c3jX3TVZRQX,https://screenpal.com/content/video/download/c3jX3TVZRQX,How_to_use_the_order_confirmation_file_transcribed.json
"iDerive Demo Feb 06, 2023",https://go.screenpal.com/watch/c0nifDVxCN1,https://screenpal.com/content/video/download/c0nifDVxCN1,iDerive_Demo_Feb_06__2023_transcribed.json
Implementation update - for No Sugar Company,https://go.screenpal.com/watch/criOIZVi5UP,https://screenpal.com/content/video/download/criOIZVi5UP,Implementation_update___for_No_Sugar_Company_transcribed.json
Improvement project video for Sama,https://go.screenpal.com/watch/c3X1nQVum8t,https://screenpal.com/content/video/download/c3X1nQVum8t,Improvement_project_video_for_Sama_transcribed.json
Inventory Management and Optimization for Amazon Sales,https://go.screenpal.com/watch/cTi6DanlALs,https://screenpal.com/content/video/download/cTi6DanlALs,Inventory_Management_and_Optimization_for_Amazon_Sales_transcribed.json
Inventory planning workbook for Energy Stone,https://go.screenpal.com/watch/crQDXfV6it0,https://screenpal.com/content/video/download/crQDXfV6it0,Inventory_planning_workbook_for_Energy_Stone_transcribed.json
Keto bar UK ad example,https://go.screenpal.com/watch/c3VnqhVojvV,https://screenpal.com/content/video/download/c3VnqhVojvV,
KW research step 2 - identifying the most relevant competitors,https://go.screenpal.com/watch/criZ3XVikup,https://screenpal.com/content/video/download/criZ3XVikup,KW_research_step_2___identifying_the_most_relevant_competitors_transcribed.json
Listing improvement plan for DREXSPORT,https://go.screenpal.com/watch/c3Xtf3VUChf,https://screenpal.com/content/video/download/c3Xtf3VUChf,Listing_improvement_plan_for_DREXSPORT_transcribed.json
Marketing plan for My Italian Decor,https://go.screenpal.com/watch/c3iocjV0s7l,https://screenpal.com/content/video/download/c3iocjV0s7l,Marketing_plan_for_My_Italian_Decor_transcribed.json
Master reports 1 to 6 - #1,https://go.screenpal.com/watch/c3hjYBVrVqP,https://screenpal.com/content/video/download/c3hjYBVrVqP,Master_reports_1_to_6____1_transcribed.json
"Master reports 15, 16, input tables, output excel file",https://go.screenpal.com/watch/c3hjrAVrVZw,https://screenpal.com/content/video/download/c3hjrAVrVZw,Master_reports_15__16__input_tables__output_excel_file_transcribed.json
Master reports 7 to 14 - #2,https://go.screenpal.com/watch/c3hjYHVrVYz,https://screenpal.com/content/video/download/c3hjYHVrVYz,Master_reports_7_to_14____2_transcribed.json
NSC - Handle Feedbacks &amp; Returns,https://go.screenpal.com/watch/crQ6lhVQKmL,https://screenpal.com/content/video/download/crQ6lhVQKmL,
NSC - Order cancellation,https://go.screenpal.com/watch/crjXVEVjrnT,https://screenpal.com/content/video/download/crjXVEVjrnT,NSC___Order_cancellation_transcribed.json
NSC implementation update - July 26 to Aug 01,https://go.screenpal.com/watch/crjnIIViSu7,https://screenpal.com/content/video/download/crjnIIViSu7,NSC_implementation_update___July_26_to_Aug_01_transcribed.json
NSC storefront builder,https://go.screenpal.com/watch/cr632HVlcWt,https://screenpal.com/content/video/download/cr632HVlcWt,NSC_storefront_builder_transcribed.json
"NSC US, Canada Report - Jan 2022",https://go.screenpal.com/watch/c3nbrGVbYOK,https://screenpal.com/content/video/download/c3nbrGVbYOK,NSC_US__Canada_Report___Jan_2022_transcribed.json
NSC Weekly - 05/10/2021,https://go.screenpal.com/watch/cr6h3GVXjgW,https://screenpal.com/content/video/download/cr6h3GVXjgW,NSC_Weekly___05_10_2021_transcribed.json
NSC Weekly - 27/09/2021,https://go.screenpal.com/watch/crQtXJV6pZ1,https://screenpal.com/content/video/download/crQtXJV6pZ1,NSC_Weekly___27_09_2021_transcribed.json
NSC weekly implementation update - 09/08/2021,https://go.screenpal.com/watch/crjQIVVjoRw,https://screenpal.com/content/video/download/crjQIVVjoRw,NSC_weekly_implementation_update___09_08_2021_transcribed.json
NSC Weekly Update - 14/09/1994,https://go.screenpal.com/watch/crQ2I6V6cjd,https://screenpal.com/content/video/download/crQ2I6V6cjd,NSC_Weekly_Update___14_09_1994_transcribed.json
NSC weekly update - 23/08/21,https://go.screenpal.com/watch/crjZVYVjPoS,https://screenpal.com/content/video/download/crjZVYVjPoS,NSC_weekly_update___23_08_21_transcribed.json
"NSC Weekly Update - Aug 16, 2021",https://go.screenpal.com/watch/crjbV3VjzXd,https://screenpal.com/content/video/download/crjbV3VjzXd,NSC_Weekly_Update___Aug_16__2021_transcribed.json
"NSC Weekly update - Aug 23 - 29, 2021",https://go.screenpal.com/watch/crjwnhVQboI,https://screenpal.com/content/video/download/crjwnhVQboI,NSC_Weekly_update___Aug_23___29__2021_transcribed.json
NSC weekly update - Aug 30 - Sep 05,https://go.screenpal.com/watch/crQiIzVQgdV,https://screenpal.com/content/video/download/crQiIzVQgdV,NSC_weekly_update___Aug_30___Sep_05_transcribed.json
Nutronic Q&amp;A for Mona,https://go.screenpal.com/watch/c3fqn7VYjOk,https://screenpal.com/content/video/download/c3fqn7VYjOk,
Product pages that convert animation,https://go.screenpal.com/watch/c0nt3EVyEJ7,https://screenpal.com/content/video/download/c0nt3EVyEJ7,
Program file v7 report 4 issue,https://go.screenpal.com/watch/c3VZr2VDiAV,https://screenpal.com/content/video/download/c3VZr2VDiAV,Program_file_v7_report_4_issue_transcribed.json
Recording #1,https://go.screenpal.com/watch/cZjQqHV9bQp,https://screenpal.com/content/video/download/cZjQqHV9bQp,Recording__1_transcribed.json
Recording #1,https://go.screenpal.com/watch/c06qX9VEI8V,https://screenpal.com/content/video/download/c06qX9VEI8V,Recording__1_transcribed.json
Recording #1,https://go.screenpal.com/watch/c06n2AV5rLB,https://screenpal.com/content/video/download/c06n2AV5rLB,Recording__1_transcribed.json
Recording #10,https://go.screenpal.com/watch/c06Y2RVEFQ7,https://screenpal.com/content/video/download/c06Y2RVEFQ7,Recording__10_transcribed.json
Recording #10,https://go.screenpal.com/watch/c06h2YV5ygU,https://screenpal.com/content/video/download/c06h2YV5ygU,Recording__10_transcribed.json
Recording #10,https://go.screenpal.com/watch/crjeVjVjciy,https://screenpal.com/content/video/download/crjeVjVjciy,Recording__10_transcribed.json
Recording #100,https://go.screenpal.com/watch/cTeqffniQm7,https://screenpal.com/content/video/download/cTeqffniQm7,Recording__100_transcribed.json
Recording #100,https://go.screenpal.com/watch/c3XU2mVUdnT,https://screenpal.com/content/video/download/c3XU2mVUdnT,Recording__100_transcribed.json
Recording #1001,https://go.screenpal.com/watch/cTVwo0nfHBx,https://screenpal.com/content/video/download/cTVwo0nfHBx,Recording__100 (1)_transcribed.json
Recording #1004,https://go.screenpal.com/watch/cTVwoKnfH57,https://screenpal.com/content/video/download/cTVwoKnfH57,Recording__1004_transcribed.json
Recording #1005,https://go.screenpal.com/watch/cTneD4nfLoG,https://screenpal.com/content/video/download/cTneD4nfLoG,Recording__1005_transcribed.json
Recording #1006,https://go.screenpal.com/watch/cTneDEnfLbd,https://screenpal.com/content/video/download/cTneDEnfLbd,Recording__1006_transcribed.json
Recording #1007,https://go.screenpal.com/watch/cTnfV9nfNH4,https://screenpal.com/content/video/download/cTnfV9nfNH4,Recording__1007_transcribed.json
Recording #1009,https://go.screenpal.com/watch/cTnflMnfPyI,https://screenpal.com/content/video/download/cTnflMnfPyI,Recording__1009_transcribed.json
Recording #101,https://go.screenpal.com/watch/cTeqh0niQNA,https://screenpal.com/content/video/download/cTeqh0niQNA,Recording__101_transcribed.json
Recording #1010,https://go.screenpal.com/watch/cTnheRnfSVh,https://screenpal.com/content/video/download/cTnheRnfSVh,Recording__1010_transcribed.json
Recording #1011,https://go.screenpal.com/watch/cTnhbKnhcCV,https://screenpal.com/content/video/download/cTnhbKnhcCV,Recording__1011_transcribed.json
Recording #1012,https://go.screenpal.com/watch/cTnhb7nhcCD,https://screenpal.com/content/video/download/cTnhb7nhcCD,Recording__1012_transcribed.json
Recording #1013,https://go.screenpal.com/watch/cTeU21niCw8,https://screenpal.com/content/video/download/cTeU21niCw8,Recording__1013_transcribed.json
Recording #1014,https://go.screenpal.com/watch/cTeviIni539,https://screenpal.com/content/video/download/cTeviIni539,Recording__1014_transcribed.json
Recording #1015,https://go.screenpal.com/watch/cTeviGni50W,https://screenpal.com/content/video/download/cTeviGni50W,Recording__1015_transcribed.json
Recording #1016,https://go.screenpal.com/watch/cTfVlznid6i,https://screenpal.com/content/video/download/cTfVlznid6i,Recording__1016_transcribed.json
Recording #1017,https://go.screenpal.com/watch/cTfVo9nidJy,https://screenpal.com/content/video/download/cTfVo9nidJy,Recording__1017_transcribed.json
Recording #1018,https://go.screenpal.com/watch/cTfno5niM3N,https://screenpal.com/content/video/download/cTfno5niM3N,Recording__1018_transcribed.json
Recording #1019,https://go.screenpal.com/watch/cTfe6bni8n0,https://screenpal.com/content/video/download/cTfe6bni8n0,Recording__1019_transcribed.json
Recording #102,https://go.screenpal.com/watch/cTeqQNni6GU,https://screenpal.com/content/video/download/cTeqQNni6GU,Recording__102_transcribed.json
Recording #1020,https://go.screenpal.com/watch/cTfe6pni81a,https://screenpal.com/content/video/download/cTfe6pni81a,Recording__1020_transcribed.json
Recording #1021,https://go.screenpal.com/watch/cTfelVni8YR,https://screenpal.com/content/video/download/cTfelVni8YR,Recording__1021_transcribed.json
Recording #1022,https://go.screenpal.com/watch/cTfeDpniPD3,https://screenpal.com/content/video/download/cTfeDpniPD3,Recording__1022_transcribed.json
Recording #1023,https://go.screenpal.com/watch/cTfebbniP3M,https://screenpal.com/content/video/download/cTfebbniP3M,Recording__1023_transcribed.json
Recording #1024,https://go.screenpal.com/watch/cTfflOniRW1,https://screenpal.com/content/video/download/cTfflOniRW1,Recording__1024_transcribed.json
Recording #1025,https://go.screenpal.com/watch/cTffoQniSwu,https://screenpal.com/content/video/download/cTffoQniSwu,Recording__1025_transcribed.json
Recording #1026,https://go.screenpal.com/watch/cTf127njVHA,https://screenpal.com/content/video/download/cTf127njVHA,Recording__1026_transcribed.json
Recording #1027,https://go.screenpal.com/watch/cTfiIAnjfHa,https://screenpal.com/content/video/download/cTfiIAnjfHa,Recording__1027_transcribed.json
Recording #1028,https://go.screenpal.com/watch/cTfjconj1wG,https://screenpal.com/content/video/download/cTfjconj1wG,Recording__1028_transcribed.json
Recording #1029,https://go.screenpal.com/watch/cTfjcpnj14b,https://screenpal.com/content/video/download/cTfjcpnj14b,Recording__1029_transcribed.json
Recording #103,https://go.screenpal.com/watch/cTeqbMnilYw,https://screenpal.com/content/video/download/cTeqbMnilYw,
Recording #1030,https://go.screenpal.com/watch/cTfjc8nj1aN,https://screenpal.com/content/video/download/cTfjc8nj1aN,Recording__1030_transcribed.json
Recording #1031,https://go.screenpal.com/watch/cTfjVDnj1Bz,https://screenpal.com/content/video/download/cTfjVDnj1Bz,Recording__1031_transcribed.json
Recording #1032,https://go.screenpal.com/watch/cTfQosnjlN7,https://screenpal.com/content/video/download/cTfQosnjlN7,Recording__1032_transcribed.json
Recording #1033,https://go.screenpal.com/watch/cTf6cznj2fi,https://screenpal.com/content/video/download/cTf6cznj2fi,Recording__1033_transcribed.json
Recording #1034,https://go.screenpal.com/watch/cTf6XinjoC3,https://screenpal.com/content/video/download/cTf6XinjoC3,Recording__1034_transcribed.json
Recording #1035,https://go.screenpal.com/watch/cTf6XanjoJx,https://screenpal.com/content/video/download/cTf6XanjoJx,Recording__1035_transcribed.json
Recording #1036,https://go.screenpal.com/watch/cTf6Xdnjo7I,https://screenpal.com/content/video/download/cTf6Xdnjo7I,Recording__1036_transcribed.json
Recording #1037,https://go.screenpal.com/watch/cTf6osnjDpN,https://screenpal.com/content/video/download/cTf6osnjDpN,Recording__1037_transcribed.json
Recording #1038,https://go.screenpal.com/watch/cTf6DknjDKn,https://screenpal.com/content/video/download/cTf6DknjDKn,Recording__1038_transcribed.json
Recording #1039,https://go.screenpal.com/watch/cTf6bNnjbnm,https://screenpal.com/content/video/download/cTf6bNnjbnm,Recording__1039_transcribed.json
Recording #104,https://go.screenpal.com/watch/cTeYeEniIEz,https://screenpal.com/content/video/download/cTeYeEniIEz,Recording__104_transcribed.json
Recording #104,https://go.screenpal.com/watch/c3leFzVUWGN,https://screenpal.com/content/video/download/c3leFzVUWGN,Recording__104_transcribed.json
Recording #1040,https://go.screenpal.com/watch/cTf6bRnjbew,https://screenpal.com/content/video/download/cTf6bRnjbew,Recording__1040_transcribed.json
Recording #1041,https://go.screenpal.com/watch/cTfXbLnjYgR,https://screenpal.com/content/video/download/cTfXbLnjYgR,Recording__104 (1)_transcribed.json
Recording #1042,https://go.screenpal.com/watch/cTfl2lnj3el,https://screenpal.com/content/video/download/cTfl2lnj3el,Recording__1042_transcribed.json
Recording #1043,https://go.screenpal.com/watch/cTfIlVnj02E,https://screenpal.com/content/video/download/cTfIlVnj02E,Recording__1043_transcribed.json
Recording #1044,https://go.screenpal.com/watch/cTfoDynjwiW,https://screenpal.com/content/video/download/cTfoDynjwiW,Recording__1044_transcribed.json
Recording #1045,https://go.screenpal.com/watch/cTfbDmnjBAn,https://screenpal.com/content/video/download/cTfbDmnjBAn,Recording__1045_transcribed.json
Recording #1046,https://go.screenpal.com/watch/cTfq2ynjCEF,https://screenpal.com/content/video/download/cTfq2ynjCEF,Recording__1046_transcribed.json
Recording #1047,https://go.screenpal.com/watch/cTfroDnjmCC,https://screenpal.com/content/video/download/cTfroDnjmCC,Recording__1047_transcribed.json
Recording #1048,https://go.screenpal.com/watch/cTfroqnjm5o,https://screenpal.com/content/video/download/cTfroqnjm5o,Recording__1048_transcribed.json
Recording #1049,https://go.screenpal.com/watch/cTf3b0nj7VJ,https://screenpal.com/content/video/download/cTf3b0nj7VJ,Recording__1049_transcribed.json
Recording #105,https://go.screenpal.com/watch/cTeYeKniIGt,https://screenpal.com/content/video/download/cTeYeKniIGt,Recording__105_transcribed.json
Recording #1050,https://go.screenpal.com/watch/cTf3FBnj7ou,https://screenpal.com/content/video/download/cTf3FBnj7ou,Recording__1050_transcribed.json
Recording #1051,https://go.screenpal.com/watch/cTfZYonjRrR,https://screenpal.com/content/video/download/cTfZYonjRrR,Recording__1051_transcribed.json
Recording #1052,https://go.screenpal.com/watch/cTfTImnjW89,https://screenpal.com/content/video/download/cTfTImnjW89,Recording__1052_transcribed.json
Recording #1053,https://go.screenpal.com/watch/cTftblnQeGH,https://screenpal.com/content/video/download/cTftblnQeGH,Recording__1053_transcribed.json
Recording #1054,https://go.screenpal.com/watch/cTfv2ynQ2dJ,https://screenpal.com/content/video/download/cTfv2ynQ2dJ,Recording__1054_transcribed.json
Recording #1055,https://go.screenpal.com/watch/cThVDHnQFT4,https://screenpal.com/content/video/download/cThVDHnQFT4,Recording__1055_transcribed.json
Recording #1056,https://go.screenpal.com/watch/cThe2enQ0FS,https://screenpal.com/content/video/download/cThe2enQ0FS,Recording__1056_transcribed.json
Recording #1057,https://go.screenpal.com/watch/cThhIKnQt4p,https://screenpal.com/content/video/download/cThhIKnQt4p,Recording__1057_transcribed.json
Recording #1058,https://go.screenpal.com/watch/cThQV5nQph0,https://screenpal.com/content/video/download/cThQV5nQph0,Recording__1058_transcribed.json
Recording #1059,https://go.screenpal.com/watch/cTh626nQG0e,https://screenpal.com/content/video/download/cTh626nQG0e,Recording__1059_transcribed.json
Recording #106,https://go.screenpal.com/watch/cTeYeMniIGs,https://screenpal.com/content/video/download/cTeYeMniIGs,Recording__106_transcribed.json
Recording #1060,https://go.screenpal.com/watch/cThloznQdHU,https://screenpal.com/content/video/download/cThloznQdHU,Recording__1060_transcribed.json
Recording #1061,https://go.screenpal.com/watch/cThlognQdHN,https://screenpal.com/content/video/download/cThlognQdHN,Recording__1061_transcribed.json
Recording #1062,https://go.screenpal.com/watch/cThlbznQKjK,https://screenpal.com/content/video/download/cThlbznQKjK,Recording__1062_transcribed.json
Recording #1064,https://go.screenpal.com/watch/cThIlHnQMeM,https://screenpal.com/content/video/download/cThIlHnQMeM,Recording__1064_transcribed.json
Recording #1065,https://go.screenpal.com/watch/cThIIwnQM2j,https://screenpal.com/content/video/download/cThIIwnQM2j,Recording__1065_transcribed.json
Recording #1066,https://go.screenpal.com/watch/cTh2q4nQ9Ot,https://screenpal.com/content/video/download/cTh2q4nQ9Ot,Recording__1066_transcribed.json
Recording #1067,https://go.screenpal.com/watch/cTh2Y6nQ9xY,https://screenpal.com/content/video/download/cTh2Y6nQ9xY,Recording__1067_transcribed.json
Recording #1069,https://go.screenpal.com/watch/cTh2YMnQ9ke,https://screenpal.com/content/video/download/cTh2YMnQ9ke,Recording__1069_transcribed.json
Recording #107,https://go.screenpal.com/watch/cTeYo1niom7,https://screenpal.com/content/video/download/cTeYo1niom7,Recording__107_transcribed.json
Recording #107,https://go.screenpal.com/watch/c3l3lrVvKEW,https://screenpal.com/content/video/download/c3l3lrVvKEW,Recording__107_transcribed.json
Recording #1072,https://go.screenpal.com/watch/cTholCnQSRm,https://screenpal.com/content/video/download/cTholCnQSRm,Recording__1072_transcribed.json
Recording #1073,https://go.screenpal.com/watch/cThDFXn6emw,https://screenpal.com/content/video/download/cThDFXn6emw,Recording__1073_transcribed.json
Recording #1074,https://go.screenpal.com/watch/cThb2tn6h61,https://screenpal.com/content/video/download/cThb2tn6h61,Recording__1074_transcribed.json
Recording #1075,https://go.screenpal.com/watch/cThYojn6IZl,https://screenpal.com/content/video/download/cThYojn6IZl,Recording__1075_transcribed.json
Recording #1076,https://go.screenpal.com/watch/cTh3nIn6Fst,https://screenpal.com/content/video/download/cTh3nIn6Fst,Recording__1076_transcribed.json
Recording #1077,https://go.screenpal.com/watch/cThZ2pn6OCb,https://screenpal.com/content/video/download/cThZ2pn6OCb,Recording__1077_transcribed.json
Recording #1079,https://go.screenpal.com/watch/cThtI2n6yRP,https://screenpal.com/content/video/download/cThtI2n6yRP,Recording__1079_transcribed.json
Recording #108,https://go.screenpal.com/watch/cTeYoMnio8E,https://screenpal.com/content/video/download/cTeYoMnio8E,Recording__108_transcribed.json
Recording #1080,https://go.screenpal.com/watch/cThtImn64f7,https://screenpal.com/content/video/download/cThtImn64f7,Recording__1080_transcribed.json
Recording #1081,https://go.screenpal.com/watch/cThtILn641U,https://screenpal.com/content/video/download/cThtILn641U,Recording__1081_transcribed.json
Recording #1082,https://go.screenpal.com/watch/cThUYUn6C5c,https://screenpal.com/content/video/download/cThUYUn6C5c,Recording__1082_transcribed.json
Recording #1083,https://go.screenpal.com/watch/cThvngn65Yo,https://screenpal.com/content/video/download/cThvngn65Yo,Recording__1083_transcribed.json
Recording #1084,https://go.screenpal.com/watch/cT1nq0n679X,https://screenpal.com/content/video/download/cT1nq0n679X,Recording__1084_transcribed.json
Recording #1085,https://go.screenpal.com/watch/cT1QYQnXQkf,https://screenpal.com/content/video/download/cT1QYQnXQkf,Recording__1085_transcribed.json
Recording #1086,https://go.screenpal.com/watch/cT1XoGnXD0V,https://screenpal.com/content/video/download/cT1XoGnXD0V,Recording__1086_transcribed.json
Recording #1087,https://go.screenpal.com/watch/cT1XFNnXDMM,https://screenpal.com/content/video/download/cT1XFNnXDMM,
Recording #1088,https://go.screenpal.com/watch/cT1lqknXYxG,https://screenpal.com/content/video/download/cT1lqknXYxG,Recording__1088_transcribed.json
Recording #1089,https://go.screenpal.com/watch/cT1IV2nXrnp,https://screenpal.com/content/video/download/cT1IV2nXrnp,Recording__1089_transcribed.json
Recording #109,https://go.screenpal.com/watch/cTerQbniF3Z,https://screenpal.com/content/video/download/cTerQbniF3Z,Recording__109_transcribed.json
Recording #1090,https://go.screenpal.com/watch/cT1226nXZsi,https://screenpal.com/content/video/download/cT1226nXZsi,Recording__1090_transcribed.json
Recording #1091,https://go.screenpal.com/watch/cT1Db0nXUzv,https://screenpal.com/content/video/download/cT1Db0nXUzv,Recording__1091_transcribed.json
Recording #1092,https://go.screenpal.com/watch/cT1Db4nXUAW,https://screenpal.com/content/video/download/cT1Db4nXUAW,Recording__1092_transcribed.json
Recording #1093,https://go.screenpal.com/watch/cT1bV9nXvws,https://screenpal.com/content/video/download/cT1bV9nXvws,Recording__1093_transcribed.json
Recording #1095,https://go.screenpal.com/watch/cT1qrknXp1Z,https://screenpal.com/content/video/download/cT1qrknXp1Z,Recording__1095_transcribed.json
Recording #1096,https://go.screenpal.com/watch/cT1YnfnXpOL,https://screenpal.com/content/video/download/cT1YnfnXpOL,Recording__1096_transcribed.json
Recording #1097,https://go.screenpal.com/watch/cT1r2jnXGbW,https://screenpal.com/content/video/download/cT1r2jnXGbW,Recording__1097_transcribed.json
Recording #1098,https://go.screenpal.com/watch/cT10cInXmsy,https://screenpal.com/content/video/download/cT10cInXmsy,Recording__1098_transcribed.json
Recording #1099,https://go.screenpal.com/watch/cT10FZnXd7t,https://screenpal.com/content/video/download/cT10FZnXd7t,Recording__1099_transcribed.json
Recording #11,https://go.screenpal.com/watch/cTfv26nQ2Ef,https://screenpal.com/content/video/download/cTfv26nQ2Ef,Recording__11_transcribed.json
Recording #11,https://go.screenpal.com/watch/c06YDnVEF0m,https://screenpal.com/content/video/download/c06YDnVEF0m,Recording__11_transcribed.json
